S1,Card1,S2,Card2,S3,Card3,S4,Card4,S5,Card5,ClassH
1,10,1,11,1,13,1,12,1,1,RoyalFlush
2,11,2,13,2,10,2,12,2,1,RoyalFlush
3,12,3,11,3,13,3,10,3,1,RoyalFlush
4,10,4,11,4,1,4,13,4,12,RoyalFlush
4,1,4,13,4,12,4,11,4,10,RoyalFlush
1,2,1,4,1,5,1,3,1,6,St1ightFlush
1,9,1,12,1,10,1,11,1,13,St1ightFlush
2,1,2,2,2,3,2,4,2,5,St1ightFlush
3,5,3,6,3,9,3,7,3,8,St1ightFlush
4,1,4,4,4,2,4,3,4,5,St1ightFlush
1,1,2,1,3,9,1,5,2,3,OnePair
2,6,2,1,4,13,2,4,4,9,NothingInHand
1,10,4,6,1,2,1,1,3,8,NothingInHand
2,13,2,1,4,4,1,5,2,11,NothingInHand
3,8,4,12,3,9,4,2,3,2,OnePair
1,3,4,7,1,5,2,4,4,13,NothingInHand
1,4,1,1,1,3,3,5,3,2,St1ight
3,8,3,12,2,7,2,6,1,2,NothingInHand
4,8,1,11,4,6,3,2,4,12,NothingInHand
3,7,2,7,4,11,1,12,3,1,OnePair
1,13,4,8,2,7,2,10,3,13,OnePair
2,6,2,8,1,11,1,4,3,7,NothingInHand
3,10,2,10,4,5,1,2,3,8,OnePair
2,1,3,13,4,6,1,9,4,1,OnePair
2,10,2,8,1,8,3,2,2,13,OnePair
2,13,1,5,4,5,4,8,3,3,OnePair
3,1,1,5,2,7,3,13,1,1,OnePair
1,7,1,5,4,8,1,6,2,6,OnePair
3,7,3,9,2,12,2,5,4,4,NothingInHand
2,10,1,1,1,12,4,6,2,8,NothingInHand
3,13,2,7,4,11,3,11,2,11,ThreeOfAKind
4,2,2,7,3,13,2,11,3,10,NothingInHand
1,11,2,7,1,6,4,2,1,1,NothingInHand
3,4,4,3,3,5,2,12,1,9,NothingInHand
3,2,1,6,2,11,4,3,2,10,NothingInHand
4,8,4,3,4,13,4,12,1,1,NothingInHand
2,6,4,8,4,3,2,2,1,2,OnePair
4,13,1,6,3,8,1,3,2,3,OnePair
2,9,2,10,4,11,4,7,4,3,NothingInHand
2,10,3,12,1,2,2,2,2,13,OnePair
2,5,2,12,2,3,1,2,3,3,OnePair
2,8,3,2,2,5,1,12,4,8,OnePair
2,1,4,7,4,6,4,5,1,5,OnePair
3,13,2,1,3,7,1,3,2,6,NothingInHand
4,10,4,13,3,5,2,8,1,10,OnePair
1,2,1,11,3,9,1,7,3,5,NothingInHand
2,2,3,1,2,11,2,6,4,4,NothingInHand
1,10,4,1,4,4,4,12,1,9,NothingInHand
4,9,3,13,2,1,3,9,4,12,OnePair
4,1,3,1,1,3,4,4,2,11,OnePair
1,5,4,4,2,13,3,7,4,10,NothingInHand
1,10,3,7,1,3,3,6,3,8,NothingInHand
4,2,3,4,4,7,3,9,2,1,NothingInHand
4,8,1,9,2,4,1,11,2,3,NothingInHand
2,7,4,13,2,3,3,4,2,1,NothingInHand
4,12,2,3,4,7,2,5,4,1,NothingInHand
2,5,3,13,3,12,3,7,1,13,OnePair
4,8,3,2,2,8,2,9,3,11,OnePair
1,8,1,12,2,9,2,6,3,2,NothingInHand
1,5,3,13,2,13,2,7,4,5,TwoPairs
4,7,4,10,3,1,3,3,2,5,NothingInHand
3,13,2,2,4,10,3,3,2,13,OnePair
1,5,3,7,1,3,1,6,2,8,NothingInHand
1,2,4,3,2,8,4,11,4,13,NothingInHand
2,1,1,4,4,1,4,11,3,7,OnePair
1,4,4,1,4,12,2,3,4,13,NothingInHand
1,9,4,1,4,7,4,4,3,2,NothingInHand
4,3,3,1,1,6,1,5,2,10,NothingInHand
2,9,4,2,3,3,2,6,3,9,OnePair
3,1,1,5,4,8,3,10,3,5,OnePair
4,7,4,5,2,9,3,8,1,5,OnePair
4,13,1,11,4,4,3,5,4,1,NothingInHand
4,13,3,8,1,1,4,6,1,13,OnePair
4,8,4,4,4,2,4,1,4,7,Flush
2,3,4,10,3,5,3,13,4,3,OnePair
1,4,2,13,3,1,4,4,4,1,TwoPairs
3,2,4,10,2,6,1,12,3,10,OnePair
2,11,3,9,1,11,4,8,3,8,TwoPairs
2,4,1,4,2,5,1,8,1,13,OnePair
2,13,1,9,1,2,1,4,4,4,OnePair
4,2,3,10,1,12,3,7,4,8,NothingInHand
2,6,1,13,4,5,2,2,4,9,NothingInHand
1,12,4,5,4,13,3,11,3,10,NothingInHand
2,7,2,3,3,13,3,11,1,4,NothingInHand
2,10,2,11,2,5,3,6,2,4,NothingInHand
2,12,4,6,3,9,4,1,4,12,OnePair
1,8,1,10,2,13,3,5,1,4,NothingInHand
2,7,1,4,2,13,3,2,4,12,NothingInHand
2,7,4,12,4,1,4,13,3,11,NothingInHand
1,9,3,3,4,4,1,10,2,1,NothingInHand
2,1,3,12,3,8,1,2,3,1,OnePair
1,9,3,10,1,8,4,4,1,5,NothingInHand
2,1,2,8,2,6,3,1,3,4,OnePair
4,11,3,12,3,4,4,12,4,7,OnePair
3,2,4,12,3,8,2,7,3,11,NothingInHand
3,12,2,12,2,8,3,11,1,6,OnePair
