ID,BIBID,ABST
1,Zhao2018, Recently image forensics community has paied attention to the research on the design of effective algorithms based on deep learning technology and facts proved that combining the domain knowledge of image forensics and deep learning would achieve more robust and better performance than the traditional schemes. Instead of improving it in this paper the safety of deep learning based methods in the field of image forensics is taken into account. To the best of our knowledge this is a first work focusing on this topic. Specifically we experimentally find that the method using deep learning would fail when adding the slight noise into the images (adversarial images). Furthermore two kinds of strategys are proposed to enforce security of deep learning-based method. Firstly an extra penalty term to the loss function is added which is referred to the 2-norm of the gradient of the loss with respect to the input images and then an novel training method are adopt to train the model by fusing the normal and adversarial images. Experimental results show that the proposed algorithm can achieve good performance even in the case of adversarial images and provide a safety consideration for deep learning-based image forensics
2,Kamilaris2018, Monitoring of disasters is crucial for mitigating their effects on the environment and human population and can be facilitated by the use of unmanned aerial vehicles (UAV) equipped with camera sensors that produce aerial photos of the areas of interest. A modern technique for recognition of events based on aerial photos is deep learning. In this paper we present the state of the art work related to the use of deep learning techniques for disaster identification. We demonstrate the potential of this technique in identifying disasters with high accuracy by means of a relatively simple deep learning model. Based on a dataset of 544 images (containing disaster images such as fires earthquakes collapsed buildings tsunami and flooding as well as non-disaster scenes) our results show an accuracy of 91% achieved indicating that deep learning combined with UAV equipped with camera sensors have the potential to predict disasters with high accuracy.
3,Liang2018, X-ray Computed Tomography (CT) imaging has been widely used in clinical diagnosis non-destructive examination and public safety inspection. Sparse-view (sparse view) CT has great potential in radiation dose reduction and scan acceleration. However sparse view CT data is insufficient and traditional reconstruction results in severe streaking artifacts. In this work based on deep learning we compared image reconstruction performance for sparse view CT reconstruction with projection domain network image domain network and comprehensive network combining projection and image domains. Our study is executed with numerical simulated projection of CT images from real scans. Results demonstrated deep learning networks can effectively reconstruct rich high frequency structural information without streaking artefact commonly seen in sparse view CT. A comprehensive network combining deep learning in both projection domain and image domain can get best results.
4,Chikka2018, Mining relationships between treatment(s) and medical problem(s) is vital in the biomedical domain. This helps in various applications such as decision support system safety surveillance and new treatment discovery. We propose a deep learning approach that utilizes both word level and sentence-level representations to extract the relationships between treatment and problem. While deep learning techniques demand a large amount of data for training we make use of a rule-based system particularly for relationship classes with fewer samples. Our final relations are derived by jointly combining the results from deep learning and rule-based models. Our system achieved a promising performance on the relationship classes of I2b2 2010 relation extraction task.
5,Kuper2018, The increasing use of deep neural networks for safety-critical applications such as autonomous driving and flight control raises concerns about their safety and reliability. Formal verification can address these concerns by guaranteeing that a deep learning system operates as intended but the state of the art is limited to small systems. In this work-in-progress report we give an overview of our work on mitigating this difficulty by pursuing two complementary directions: devising scalable verification techniques and identifying design choices that result in deep learning systems that are more amenable to verification.
6,Meng2017, Deep learning has shown promising results on hard perceptual problems in recent years. However deep learning systems are found to be vulnerable to small adversarial perturbations that are nearly imperceptible to human. Such specially crafted perturbations cause deep learning systems to output incorrect decisions with potentially disastrous consequences. These vulnerabilities hinder the deployment of deep learning systems where safety or security is important. Attempts to secure deep learning systems either target specific attacks or have been shown to be ineffective. In this paper we propose MagNet a framework for defending neural network classifiers against adversarial examples. MagNet does not modify the protected classifier or know the process for generating adversarial examples. MagNet includes one or more separate detector networks and a reformer network. Different from previous work MagNet learns to differentiate between normal and adversarial examples by approximating the manifold of normal examples. Since it does not rely on any process for generating adversarial examples it has substantial generalization power. Moreover MagNet reconstructs adversarial examples by moving them towards the manifold which is effective for helping classify adversarial examples with small perturbation correctly. We discuss the intrinsic difficulty in defending against whitebox attack and propose a mechanism to defend against graybox attack. Inspired by the use of randomness in cryptography we propose to use diversity to strengthen MagNet. We show empirically that MagNet is effective against most advanced state-of-the-art attacks in blackbox and graybox scenarios while keeping false positive rate on normal examples very low.
7,Dubal2018, This paper demonstrates the effectiveness of our customized deep learning based video analytics system in various applications focused on security safety customer analytics and process compliance. We describe our video analytics system comprising of Search Summarize Statistics and real-time alerting and outline its building blocks. These building blocks include object detection tracking face detection and recognition human and face sub-attribute analytics. In each case we demonstrate how custom models trained using data from the deployment scenarios provide considerably superior accuracies than off-the-shelf models. Towards this end we describe our data processing and model training pipeline which can train and fine-tune models from videos with a quick turnaround time. Finally since most of these models are deployed on-site it is important to have resource constrained models which do not require GPUs. We demonstrate how we custom train resource constrained models and deploy them on embedded devices without significant loss in accuracy. To our knowledge this is the first work which provides a comprehensive evaluation of different deep learning models on various real-world customer deployment scenarios of surveillance video analytics. By sharing our implementation details and the experiences learned from deploying customized deep learning models for various customers we hope that customized deep learning based video analytics is widely incorporated in commercial products around the world.
8,Strauss2017, Deep learning has become the state of the art approach in many machine learning problems such as classification. It has recently been shown that deep learning is highly vulnerable to adversarial perturbations. Taking the camera systems of self-driving cars as an example small adversarial perturbations can cause the system to make errors in important tasks such as classifying traffic signs or detecting pedestrians. Hence in order to use deep learning without safety concerns a proper defense strategy is required. We propose to use ensemble methods as a defense strategy against adversarial perturbations. We find that an attack leading one model to misclassify does not imply the same for other networks performing the same task. This makes ensemble methods an attractive defense strategy against adversarial attacks. We empirically show for the MNIST and the CIFAR-10 data sets that ensemble methods not only improve the accuracy of neural networks on test data but also increase their robustness against adversarial perturbations.
9,Nguyen2018, In a world of global trading maritime safety security and efficiency are crucial issues. We propose a multi-task deep learning framework for vessel monitoring using Automatic Identification System (AIS) data streams. We combine recurrent neural networks with latent variable modeling and an embedding of AIS messages to a new representation space to jointly address key issues to be dealt with when considering AIS data streams: massive amount of streaming data noisy data and irregular timesampling. We demonstrate the relevance of the proposed deep learning framework on real AIS datasets for a three-task setting namely trajectory reconstruction anomaly detection and vessel type identification.
10,Yuan2017, With rapid progress and significant successes in a wide spectrum of applications deep learning is being applied in many safety-critical environments. However deep neural networks have been recently found vulnerable to well-designed input samples called adversarial examples. Adversarial examples are imperceptible to human but can easily fool deep neural networks in the testing/deploying stage. The vulnerability to adversarial examples becomes one of the major risks for applying deep neural networks in safety-critical environments. Therefore attacks and defenses on adversarial examples draw great attention. In this paper we review recent findings on adversarial examples for deep neural networks summarize the methods for generating adversarial examples and propose a taxonomy of these methods. Under the taxonomy applications for adversarial examples are investigated. We further elaborate on countermeasures for adversarial examples and explore the challenges and the potential solutions.
11,Cai2016, Night vision systems get more and more attention in the field of automotive active safety field. In this area a number of researchers have proposed far-infrared sensor based night-time vehicle detection algorithm. However existing algorithms have low performance in some indicators such as the detection rate and processing time. To solve this problem we propose a far-infrared image vehicle detection algorithm based on visual saliency and deep learning. Firstly most of the nonvehicle pixels will be removed with visual saliency computation. Then vehicle candidate will be generated by using prior information such as camera parameters and vehicle size. Finally classifier trained with deep belief networks will be applied to verify the candidates generated in last step. The proposed algorithm is tested in around 6000 images and achieves detection rate of 92.3% and processing time of 25 Hz which is better than existing methods.
12,Feng2018, In recent years pluvial floods caused by extreme rainfall events have occurred frequently. Especially in urban areas they lead to serious damages and endanger the citizens’ safety. Therefore real-time information about such events is desirable. With the increasing popularity of social media platforms such as Twitter or Instagram information provided by voluntary users becomes a valuable source for emergency response. Many applications have been built for disaster detection and flood mapping using crowdsourcing. Most of the applications so far have merely used keyword filtering or classical language processing methods to identify disaster relevant documents based on user generated texts. As the reliability of social media information is often under criticism the precision of information retrieval plays a significant role for further analyses. Thus in this paper high quality eyewitnesses of rainfall and flooding events are retrieved from social media by applying deep learning approaches on user generated texts and photos. Subsequently events are detected through spatiotemporal clustering and visualized together with these high quality eyewitnesses in a web map application. Analyses and case studies are conducted during flooding events in Paris London and Berlin.
13,Huang2018, The ultrasound imaging is one of the most common schemes to detect diseases in the clinical practice. There are many advantages of ultrasound imaging such as safety convenience and low cost. However reading ultrasound imaging is not easy. To support the diagnosis of clinicians and reduce the load of doctors many ultrasound computer-aided diagnosis (CAD) systems are proposed. In recent years the success of deep learning in the image classification and segmentation led to more and more scholars realizing the potential of performance improvement brought by utilizing the deep learning in the ultrasound CAD system. This paper summarized the research which focuses on the ultrasound CAD system utilizing machine learning technology in recent years. This study divided the ultrasound CAD system into two categories. One is the traditional ultrasound CAD system which employed the manmade feature and the other is the deep learning ultrasound CAD system. The major feature and the classifier employed by the traditional ultrasound CAD system are introduced. As for the deep learning ultrasound CAD newest applications are summarized. This paper will be useful for researchers who focus on the ultrasound CAD system.
14,Zhang2018, At present intelligent video analysis technology has been widely used in various fields. Object tracking is one of the important part of intelligent video surveillance but the traditional target tracking technology based on the pixel coordinate system in images still exists some unavoidable problems. Target tracking based on pixel can’t reflect the real position information of targets and it is difficult to track objects across scenes. Based on the analysis of Zhengyou Zhang's camera calibration method this paper presents a method of target tracking based on the target's space coordinate system after converting the 2-D coordinate of the target into 3-D coordinate. It can be seen from the experimental results: Our method can restore the real position change information of targets well and can also accurately get the trajectory of the target in space.
15,Kim2018, Bridge inspection using unmanned aerial vehicles (UAV) with high performance vision sensors has received considerable attention due to its safety and reliability. As bridges become obsolete the number of bridges that need to be inspected increases and they require much maintenance cost. Therefore a bridge inspection method based on UAV with vision sensors is proposed as one of the promising strategies to maintain bridges. In this paper a crack identification method by using a commercial UAV with a high resolution vision sensor is investigated in an aging concrete bridge. First a point cloud-based background model is generated in the preliminary flight. Then cracks on the structural surface are detected with the deep learning algorithm and their thickness and length are calculated. In the deep learning method region with convolutional neural networks (R-CNN)-based transfer learning is applied. As a result a new network for the 384 collected crack images of 256 &times; 256 pixel resolution is generated from the pre-trained network. A field test is conducted to verify the proposed approach and the experimental results proved that the UAV-based bridge inspection is effective at identifying and quantifying the cracks on the structures.
16,Pan2017, This paper explores the idea of applying a machine learning approach to develop a global road safety performance function (SFP) that can be used to predict the expected crash frequencies of different highways from different regions. A deep belief network (DBN)   one of the most popular deep learning models is introduced as an alternative to the traditional regression models for crash modelling. An extensive empirical study is conducted using three real world crash data sets covering six classes of highways as defined by location (urban vs. rural) number of lanes access control and region. The study involves a number of experiments aiming at addressing several critical questions pertaining to the relative performance of the DBN in terms of network structure training method data size and generalization ability as compared to the traditional regression models. The experimental results have shown that a DBN model could be trained with different crash datasets with prediction performance being at least comparable to that of the locally calibrated negative binomial (NB) model.
